"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (Railways))";"Debates (Submissions By Members)";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Housing And Urban Affairs)";"Questions (Steel)";"Questions (Women And Child Development)";"Questions (Home Affairs)";"Questions (Finance)";"Questions (Defence)";"Questions (Health And Family Welfare)";"Questions (Civil Aviation)";"Questions (Railways)";"Questions (Commerce And Industry)";"Questions (Drinking Water And Sanitation)";"Questions (Coal)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (External Affairs)";"Questions (Textiles)";"Questions (Urban Development)";"Questions (Prime Minister)";"Questions (Shipping)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Labour And Employment)";"Questions (Culture)";"Questions (Power)";"Questions (Agriculture And Farmers Welfare)";"Questions (Human Resource Development)";"Questions (Agriculture)";"Questions (Road Transport And Highways)";"Questions (Minority Affairs)";"Questions (Mines)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Environment, Forests And Climate Change)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Petroleum And Natural Gas)";"Questions (New And Renewable Energy)";"Questions (Tourism)";"Questions (Information And Broadcasting)";"Questions (Social Justice And Empowerment)";"Questions (Micro, Small And Medium Enterprises)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Food Processing Industries)";"Questions (Tribal Affairs)";"Questions (Electronics And Information Technology)";"Questions (Youth Affairs And Sports)";"Questions (Chemicals And Fertilizers)";"Questions (Panchayati Raj)";"Questions (Ayush)";"Questions (Science And Technology)";"Questions (Law And Justice)";"Questions (Statistics And Programme Implementation)";"Questions (Skill Development And Entrepreneurship)";"Questions (Corporate Affairs)";"Questions (Earth Sciences)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Bills)";"Debates (Statutory Resolution And Government Bill)";"Questions (Planning)";"Questions (Water Resources)";"Debates (Government Resolutions)";"Questions (Overseas Indian Affairs)";"Debates (Others)";"Debates (Adjournment Motion)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Felicitations)";"Questions (Parliamentary Affairs)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Clarification On The Statement By Minister)";"Debates (Statutory Resolutions)";"Debates (Budget (States))";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)"
"Abhijit Mukherjee";"Jangipur";"96.41%";"33";"174";"0";"West Bengal";"Indian National Congress";"Elected";"18-May-14";"In office";"Second";"59";"Male";"Professional Graduate";"16th";"1";"12";"8";"7";"2";"1";"1";"1";"1";"5";"4";"15";"5";"17";"7";"2";"16";"9";"3";"1";"3";"3";"14";"1";"1";"1";"8";"1";"11";"9";"1";"8";"1";"10";"8";"5";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abhishek Banerjee";"Diamond Harbour";"29.06%";"3";"48";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"31";"Male";"Post Graduate";"16th";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"3";"1";"4";"0";"2";"0";"2";"1";"0";"1";"0";"2";"2";"0";"1";"0";"0";"0";"3";"0";"0";"3";"0";"3";"0";"3";"0";"0";"2";"3";"2";"3";"1";"1";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abhishek Singh";"Rajnandgaon";"75.65%";"17";"391";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"38";"Male";"Professional Post Graduate";"16th";"1";"5";"3";"3";"1";"2";"0";"0";"3";"4";"10";"15";"28";"4";"30";"7";"25";"6";"8";"10";"3";"6";"7";"4";"5";"0";"1";"11";"13";"12";"7";"4";"11";"27";"7";"9";"3";"2";"3";"7";"9";"3";"16";"3";"0";"5";"6";"1";"1";"6";"11";"4";"9";"4";"3";"4";"2";"1";"1";"4";"1";"2";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abu Hasem Khan Choudhury";"Maldaha Dakshin";"71.12%";"2";"0";"0";"West Bengal";"Indian National Congress";"Elected";"18-May-14";"In office";"Third";"81";"Male";"Graduate";"16th";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adhikari Deepak (Dev)";"Ghatal";"11.59%";"2";"3";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"36";"Male";"Graduate";"16th";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adhir Ranjan Chowdhury";"Baharampur";"79.24%";"114";"186";"5";"West Bengal";"Indian National Congress";"Elected";"18-May-14";"In office";"Fourth";"63";"Male";"Under Matric";"16th";"12";"39";"31";"7";"6";"2";"3";"0";"0";"2";"1";"8";"13";"7";"10";"8";"8";"10";"2";"6";"7";"5";"2";"1";"6";"3";"4";"3";"4";"8";"1";"5";"2";"9";"5";"4";"1";"1";"0";"4";"6";"1";"0";"0";"0";"1";"1";"6";"2";"0";"4";"1";"0";"4";"0";"2";"0";"1";"1";"3";"2";"0";"3";"0";"1";"1";"5";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Misra Teni";"Kheri";"95.35%";"246";"484";"6";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"58";"Male";"Professional Graduate";"16th";"33";"150";"10";"25";"7";"5";"5";"6";"2";"2";"5";"12";"47";"9";"32";"8";"44";"15";"10";"4";"11";"4";"4";"4";"3";"4";"4";"6";"12";"5";"1";"10";"32";"29";"6";"21";"1";"0";"3";"11";"16";"11";"3";"7";"2";"6";"6";"2";"0";"6";"10";"2";"4";"3";"4";"4";"3";"2";"0";"8";"8";"4";"0";"3";"3";"3";"2";"0";"1";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Nishad";"Muzaffarpur";"94.59%";"21";"218";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"52";"Male";"Graduate";"16th";"14";"5";"0";"1";"0";"1";"0";"0";"0";"2";"6";"7";"11";"3";"12";"2";"14";"7";"1";"2";"0";"6";"9";"1";"3";"1";"1";"2";"9";"8";"1";"0";"8";"10";"2";"5";"3";"1";"1";"4";"9";"6";"6";"3";"6";"5";"11";"0";"0";"1";"2";"2";"1";"0";"5";"5";"0";"2";"4";"2";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Tamta";"Almora";"94.75%";"16";"69";"0";"Uttarakhand";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"46";"Male";"Inter/ Higher Secondary";"16th";"0";"4";"0";"4";"3";"2";"1";"1";"0";"0";"1";"1";"2";"3";"2";"2";"6";"0";"0";"0";"1";"0";"1";"2";"1";"0";"0";"3";"1";"0";"2";"1";"2";"9";"4";"6";"0";"0";"0";"2";"3";"3";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Akshay Yadav";"Firozabad";"67.65%";"10";"1";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18-May-14";"In office";"First";"32";"Male";"Professional Graduate";"16th";"0";"1";"3";"3";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
