"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Questions (Ayush)";"Questions (Road Transport And Highways)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Chemicals And Fertilizers)";"Questions (Civil Aviation)";"Questions (Panchayati Raj)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Health And Family Welfare)";"Questions (Women And Child Development)";"Questions (Jal Shakti)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Housing And Urban Affairs)";"Questions (Electronics And Information Technology)";"Questions (Commerce And Industry)";"Questions (Youth Affairs And Sports)";"Questions (Tourism)";"Questions (External Affairs)";"Questions (Atomic Energy)";"Questions (Labour And Employment)";"Questions (Education)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Special Mention)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Corporate Affairs)";"Questions (Rural Development)";"Questions (Law And Justice)";"Questions (Petroleum And Natural Gas)";"Questions (Communication)";"Questions (Ports, Shipping And Waterways)";"Questions (Power)";"Questions (Earth Sciences)";"Questions (Heavy Industries)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Mines)";"Questions (Environment, Forest And Climate Change)";"Questions (Coal)";"Questions (Prime Minister)";"Questions (Statistics And Programme Implementation)";"Debates (Submissions By Members)";"Questions (Planning)";"Questions (Social Justice And Empowerment)";"Questions (Culture)";"Questions (Steel)";"Questions (Tribal Affairs)";"Questions (Defence)";"Questions (Skill Development And Entrepreneurship)";"Questions (Textiles)";"Questions (Science And Technology)";"Questions (Information And Broadcasting)";"Questions (Parliamentary Affairs)";"Questions (Cooperation)";"Questions (New And Renewable Energy)";"Questions (Food Processing Industries)";"Questions (Minority Affairs)";"Questions (Personnel, Public Grievances And Pensions)";"Questions (Space)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Private Members' Bills)"
"Aashtikar Patil Nagesh Bapurao";"Hingoli";"No";"60.00%";"0";"43";"0";"Maharashtra";"Shiv Sena (Uddhav Balasaheb Thackeray)";"Elected";"09-06-2024";"In Office";"First Term";"52";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"3.0";"4.0";"1.0";"5.0";"1.0";"4.0";"1.0";"2.0";"3.0";"3.0";"1.0";"1.0";"1.0";"2.0";"1.0";"2.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Abdul Rashid Sheikh";"Baramulla";"No";"0.00%";"0";"0";"0";"Jammu And Kashmir";"Independent";"Elected";"09-06-2024";"In Office";"First Term";"57";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Abhay Kumar Sinha";"Aurangabad";"No";"80.00%";"11";"11";"0";"Bihar";"Rashtriya Janata Dal";"Elected";"09-06-2024";"In Office";"First Term";"52";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"4.0";"0.0";"1.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"3.0";"2.0";"3.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Abhijit Gangopadhyay";"Tamluk";"No";"85.00%";"2";"0";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"62";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Abhishek Banerjee";"Diamond Harbour";"No";"35.00%";"1";"19";"0";"West Bengal";"All India Trinamool Congress";"Elected";"09-06-2024";"In Office";"Third Term";"37";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"3.0";"2.0";"2.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Abu Taher Khan";"Murshidabad";"No";"100.00%";"1";"12";"0";"West Bengal";"All India Trinamool Congress";"Elected";"09-06-2024";"In Office";"Second Term";"60";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Adhikari Soumendu";"Kanthi";"No";"100.00%";"0";"0";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"41";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Aditya Yadav";"Badaun";"No";"100.00%";"6";"11";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"First Term";"36";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"2.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Adhikari Deepak Dev";"Ghatal";"No";"0.00%";"0";"31";"0";"West Bengal";"All India Trinamool Congress";"Elected";"09-06-2024";"In Office";"Third Term";"42";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"2.0";"2.0";"2.0";"1.0";"0.0";"3.0";"1.0";"0.0";"0.0";"2.0";"1.0";"1.0";"4.0";"0.0";"1.0";"1.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Raja A";"Nilgiris";"No";"90.00%";"3";"42";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"09-06-2024";"In Office";"Sixth Term";"61";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"4.0";"2.0";"4.0";"0.0";"1.0";"0.0";"2.0";"2.0";"2.0";"1.0";"1.0";"0.0";"1.0";"5.0";"0.0";"2.0";"4.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
