"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"link";"Representative"
"2023-08-04";"The National Commission for Minorities (Amendment) Bill, 2021 (Amendment of section 2)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/79 of 2021 (AS)84202370028PM.pdf?source=legislation";"Sanjay Jaiswal"
"2023-08-04";"The Child Welfare Bill, 2021";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/73 of 2021 AS 84202371045PM.pdf?source=legislation";"Jugal Kishore"
"2023-08-04";"The Electronic Waste (Management and Disposal) Bill, 2021";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/105 of 2021 as84202370126PM.pdf?source=legislation";"Jugal Kishore"
"2023-08-04";"The Arbitration and Conciliation (Amendment) Bill, 2022 (Amendment of section 20)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/243 of 2022 (EV) (As Introduced)84202373630PM.pdf?source=legislation";"Hanumana Ram"
"2023-08-04";"The Energy Conservation (Amendment) Bill, 2022 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/256 of 2022 (Ev) (As Introduced)84202375814PM.pdf?source=legislation";"Gourav Gogoi"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of articles 15 and 16)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/296 of 2022 as intro84202385403PM.pdf?source=legislation";"Sanjay Bhatia"
"2023-08-04";"The Companies (Amendment) Bill, 2022 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/281 of 2022 to be introduced (EV)84202380323PM.pdf?source=legislation";"Gourav Gogoi"
"2023-08-04";"The Victims of Acid Attack, their Rehabilitation Support and Healthcare Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/208 OF 2022 AS INTRO84202385426PM.pdf?source=legislation";"Dileshwar Kamait"
"2023-08-04";"The Compulsory Teaching of Ill Effects of Drug Addiction in Schools Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/46 of 2023 AS84202372717PM.pdf?source=legislation";"Dilip Saikia"
"2023-08-04";"The Patharughat National Farmers Memorial Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/269 OF 2022 AS INTRO84202385702PM.pdf?source=legislation";"Dilip Saikia"
"2023-08-04";"The Private Coaching Centres Regulatory Board Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/9 of 2023 As Bill No84202373427PM.pdf?source=legislation";"Dilip Saikia"
"2023-08-04";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2022 (Amendment of the Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/157 of 2022 to be84202385152PM.pdf?source=legislation";"DNV Senthilkumar S."
"2023-08-04";"The Food Safety and Standards (Amendment) Bill, 2022 (Amendment of Section 3, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/190 OF 2022 AS84202384815PM.pdf?source=legislation";"DNV Senthilkumar S."
"2023-08-04";"The Prevention of Violence Against Healthcare Professionals and Clinical Establishments Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/280 of 2022 (EV) As Introduced84202380720PM.pdf?source=legislation";"DNV Senthilkumar S."
"2023-08-04";"The National Green Tribunal (Amendment) Bill, 2022 (Amendment of section 15, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/198 OF 2022 AS INTRO84202385537PM.pdf?source=legislation";"E. T. Mohammed Basheer"
"2023-08-04";"The Small Land Holding Farmers (Protection and Welfare) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/77 OF 2023 AS INTRO104202331737PM.pdf?source=legislation";"G. Selvam"
"2023-08-04";"The Supreme Court of India (Establishment of a Permanent Bench at Hyderabad) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1 of 2023 As introduced (EV)84202380129PM.pdf?source=legislation";"Gaddam Ranjith Reddy"
"2023-08-04";"The Compulsory Yoga Practice in Schools and Other Education Institutions Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/41 of 2023 (EV) As Introduced84202373207PM.pdf?source=legislation";"Sukanta Majumdar"
"2023-08-04";"The Chit Funds (Amendment) Bill, 2023 (Amendment of sections 2 and 4)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2 of 2023 (EV) As Introduced84202373313PM.pdf?source=legislation";"Sukanta Majumdar"
"2023-08-04";"The Coal Bearing Areas (Acquisition and Development) Amendment Bill, 2023 (Insertion of new section 4A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/103 of 2023 as intro84202371633PM.pdf?source=legislation";"Gautham Sigamani Pon"
"2023-08-04";"The Hindu Succession (Amendment) Bill, 2023 (Amendment of section 2)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/94 of 2023 AS84202371653PM.pdf?source=legislation";"Gautham Sigamani Pon"
"2023-08-04";"The Constitution (Amendment) Bill, 2023 (Amendment of article 214)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/21 of 2023 as introduced84202373446PM.pdf?source=legislation";"Gopal Chinayya Shetty"
"2023-08-04";"The Maintenance and Welfare of Parents and Senior Citizens (Amendment) Bill, 2023 (Amendment of section 19, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/14 of 2023 as introduced84202373506PM.pdf?source=legislation";"Gopal Chinayya Shetty"
"2023-08-04";"The Judicial Accountability Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/59 of 2023 as intro84202372846PM.pdf?source=legislation";"Sudhir Gupta"
"2023-08-04";"The Unemployment Allowance Bill, 2019";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/259 of 2019 AS INTRO84202365745PM.pdf?source=legislation";"Su Thirunavukkarasar"
"2023-08-04";"The Agricultural Workers Welfare Fund Bill, 2019";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/261 of 2019As84202365816PM.pdf?source=legislation";"Su Thirunavukkarasar"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of article 85)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/266 of 2022 as intro84202373814PM.pdf?source=legislation";"Shyam Singh Yadav"
"2023-08-04";"The Tuberculosis (Treatment and Eradication) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/35 OF 2022 AS84202384845PM.pdf?source=legislation";"Shrirang Appa Barne"
"2023-08-04";"The Tourism Development Board Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/235 of 2022 as introduced84202375753PM.pdf?source=legislation";"Shrirang Appa Barne"
"2023-08-04";"The Commission for Air Quality Management in National Capital Region and Adjoining Areas (Amendment) Bill, 2022 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/271 of 2022as882023113716AM.pdf?source=legislation";"Gourav Gogoi"
"2023-08-04";"The Motor Vehicles (Amendment) Bill, 2022 (Amendment of section 41)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/287 OF 2022 AS INTRO84202385820PM.pdf?source=legislation";"Sanjay Bhatia"
"2023-08-04";"The Nursing Services (Regularisation of Service and Welfare) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/199 of 2022 as intro84202385303PM.pdf?source=legislation";"Ritesh Pandey"
"2023-08-04";"The High Courts (Use of Official Language) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/117 of 2022 As84202385041PM.pdf?source=legislation";"Sunil Kumar Singh"
"2023-08-04";"The Central Universities (Amendment) Bill, 2022 (Insertion of new section 3G, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/234 of 2022 EV (AS)84202375342PM.pdf?source=legislation";"Raju Bista"
"2023-08-04";"The Prevention and Control of Infectious and Contagious Diseases in Animals (Amendment) Bill, 2023 (Insertion of new sections 19A and 19B)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/76 OF 2023 AS INTRO84202372244PM.pdf?source=legislation";"Manoj Rajoria"
"2023-08-04";"The Andhra Pradesh Reorganisation (Amendment) Bill, 2023 (Insertion of new Part XA)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/20 of 2023 as84202384925PM.pdf?source=legislation";"Margani Bharat Ram"
"2023-08-04";"The Code of Criminal Procedure (Amendment) Bill, 2023 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/15 OF 2023 AS INTRO84202385511PM.pdf?source=legislation";"Mohammad Jawed"
"2023-08-04";"The Healthcare Service Providers and Facilities (Prevention of Violence and Damage to Property) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/98 of 2023 as intro84202371813PM.pdf?source=legislation";"Mohammad Jawed"
"2023-08-04";"The Salt Workers Welfare Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/53 of 2023 as intro84202372946PM.pdf?source=legislation";"Rahul Ramesh Shewale"
"2023-08-04";"The Indian Penal Code (Amendment) Bill, 2022 (Insertion of new section 440A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/261 of 2022 as84202375552PM.pdf?source=legislation";"Rahul Ramesh Shewale"
"2023-08-04";"The Child Marriage Abolition Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/285 of 2022 as introduced84202375528PM.pdf?source=legislation";"Rahul Ramesh Shewale"
"2023-08-04";"The Criminal Law (Amendment) Bill, 2023 (Insertion of new section 52B, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/39 OF 2023 AS INTRO84202373251PM.pdf?source=legislation";"Nishikant Dubey"
"2023-08-04";"The Epidemic Diseases (Amendment) Bill, 2023 (Amendment of section 1A, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/26 OF 2023 AS INTRO84202373228PM.pdf?source=legislation";"Nishikant Dubey"
"2023-08-04";"The Central Educational Institutions (Reservation in Admission) Amendment Bill, 2023 (Amendment of sections 2 and 3)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/27 of 2023 as intro84202373039PM.pdf?source=legislation";"Nishikant Dubey"
"2023-08-04";"The Social Media and Over-the-Top Platform Regulatory Board Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/254 of 2022 AS INTRODUCED84202375425PM.pdf?source=legislation";"Pushpendra Singh Chandel"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of article 72)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/291 of 2022 (EV) As Introduced84202385756PM.pdf?source=legislation";"Pushpendra Singh Chandel"
"2023-08-04";"The Criminal Law (Amendment) Bill, 2023 (Amendment of section 99, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/85 of 2023 as intro84202371957PM.pdf?source=legislation";"Abdul Khaleque"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of the Seventh Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/292 of 2022 AS84202375146PM.pdf?source=legislation";"Pradyut Bordoloi"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of article 201)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/251 OF 2022 AS INTRO84202385635PM.pdf?source=legislation";"N.K.Premachandran"
"2023-08-04";"The Journalist (Prevention of Violence and Damage or Loss to the Property) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/250 of 2022 (Ev) (As Introduced)84202380526PM.pdf?source=legislation";"N.K.Premachandran"
"2023-08-04";"The Advocates (Protection) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/257 of 2022 (AS)84202380445PM.pdf?source=legislation";"N.K.Premachandran"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of the Seventh Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/237 OF 2022 AS INTRO84202373657PM.pdf?source=legislation";"P.P. Chaudhary"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of the Seventh Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/237 OF 2022 AS INTRO84202373657PM.pdf?source=legislation";"P.P. Chaudhary"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Amendment of article 58)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/227 of 2022 (EV) As Introduced84202373751PM.pdf?source=legislation";"P.P. Chaudhary"
"2023-08-04";"The Wind Turbine and Solar Energy Waste (Handling, Disposal and Recycling) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/163 of 2022 as intro84202385216PM.pdf?source=legislation";"Poonamben Hematbhai Maadam"
"2023-08-04";"The Government Servants (Regulation of Services) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/61 of 2023 as intro84202372420PM.pdf?source=legislation";"Omprakash"
"2023-08-04";"The Code of Criminal Procedure (Amendment) Bill, 2023 (Amendment of sections 267 and 273)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/52 OF 2023 AS INTRO84202372907PM.pdf?source=legislation";"Parvesh Sahib Singh Verma"
"2023-08-04";"The Compulsory Teaching of Lifestyle for Environment Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/84 of 2023 as882023113531AM.pdf?source=legislation";"Manoj Rajoria"
"2023-08-04";"The Waste (Disposal and Management) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/37 of 2023 EV As Int84202372605PM.pdf?source=legislation";"Manoj Kotak Kishorbhai"
"2023-08-04";"The Indian Telecom (Privacy and Security) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/110 of 2023 as intro84202371714PM.pdf?source=legislation";"Ritesh Pandey"
"2023-08-04";"The Urban Areas (Development and Regulation) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/33 of 2023 as intro84202372657PM.pdf?source=legislation";"Manoj Kotak Kishorbhai"
"2023-08-04";"The Representation of the People (Amendment) Bill, 2023(Amendment of section 20A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/44 of 2023 as intro84202372826PM.pdf?source=legislation";"Karti P. Chidambaram"
"2023-08-04";"The Code of Criminal Procedure (Amendment) Bill, 2022 (Amendment of section 125)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/259 of 2022as882023113639AM.pdf?source=legislation";"Kesineni Srinivas"
"2023-08-04";"The Criminal Law (Amendment) Bill, 2022 (Amendment of section 124A, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/13 of 2022 AS INTRODUCED84202371245PM.pdf?source=legislation";"Kesineni Srinivas"
"2023-08-04";"The Government Legislative Proposals and Schemes (Impact Analysis and Post Implementation Assessment) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/94 of 2022 as84202384954PM.pdf?source=legislation";"Kesineni Srinivas"
"2023-08-04";"The Traditional Fishermen (Protection and Welfare) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/28 OF 2023 AS INTRO84202372506PM.pdf?source=legislation";"Ravindra Shyamnarayan"
"2023-08-04";"The Compulsory Teaching of Moral Ethics in Educational Institutions Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/34 of 2023 as intro84202372546PM.pdf?source=legislation";"Ravindra Shyamnarayan"
"2023-08-04";"The Central Sanskrit Universities (Amendment) Bill, 2023 (Amendment of the First Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/48 OF 2023 AS INTRO84202372526PM.pdf?source=legislation";"Ravindra Shyamnarayan"
"2023-08-04";"The Code on Social Security (Amendment) Bill, 2022 (Amendment of sections 2 and 53)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/248 of 2022 as84202374106PM.pdf?source=legislation";"Krishna Pal Singh"
"2023-08-04";"The Companies (Amendment) Bill, 2022 (Amendment of section 135)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/224 of 2022 (EV) As Introduced84202374156PM.pdf?source=legislation";"Krishna Pal Singh"
"2023-08-04";"The Constitution (Amendment) Bill, 2022 (Substitution of new article for article 343)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/293 of 2022 (EV) As Introduced84202374133PM.pdf?source=legislation";"Krishna Pal Singh"
"2023-08-04";"The Andaman and Nicobar Islands (Right to Health) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/73 of 2023 as intro84202372221PM.pdf?source=legislation";"Kuldeep Rai Sharma"
"2023-08-04";"The Anganwadi Workers of Andaman and Nicobar Islands (Regularization of Service and Welfare) Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/70 of 2023 as intro84202372136PM.pdf?source=legislation";"Kuldeep Rai Sharma"
"2023-08-04";"The Welfare of Shopkeepers in Andaman and Nicobar Islands Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/72 of 2023 as intro84202372159PM.pdf?source=legislation";"Kuldeep Rai Sharma"
"2023-08-04";"The Chilli (Promotion and Development) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/202 of 2022 as intro84202385340PM.pdf?source=legislation";"Lavu Sri Krishna Devarayalu"
"2023-08-04";"The Sexual Harassment at Workplace (Prevention, Prohibition and Redressal) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/247 of 2022 As introduced84202380400PM.pdf?source=legislation";"Lavu Sri Krishna Devarayalu"
"2023-08-04";"The Terminated Employees (Temporary Benefits) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/272 of 2022 (EV) As Introduced84202370100PM.pdf?source=legislation";"Lavu Sri Krishna Devarayalu"
"2023-08-04";"The Scheduled Castes and Scheduled Tribes Sub Plans (Budgetary Allocation and Special Schemes) Bill, 2020";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/91 of 2020 as84202365849PM.pdf?source=legislation";"Locket Chatterjee"
"2023-08-04";"The Vehicular Pollution Reduction Bill, 2019";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/351 of 2019As84202365917PM.pdf?source=legislation";"Locket Chatterjee"
"2023-08-04";"The Agricultural Produce Price Fixation Board Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/279 of 2022 AS882023113739AM.pdf?source=legislation";"A. M. Arif"
"2023-08-04";"The Anganwadi Worker's Welfare Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/260 of 2022 (Ev) (As introduced)84202375615PM.pdf?source=legislation";"M. K. Raghavan"
"2023-08-04";"The Criminal Laws (Amendment) Bill, 2022 (Amendment of section 353, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/275 of 2022 as introduced84202375241PM.pdf?source=legislation";"M. K. Raghavan"
"2023-08-04";"The Institute of Teaching and Research in Ayurveda (Amendment) Bill, 2023 (Amendment of Long Title, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3 of 2023 (EV) As Introduced84202385722PM.pdf?source=legislation";"M. K. Raghavan"
"2023-08-04";"The Prohibition of Fake News on Social Media Bill, 2023";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/47 OF 2023 AS INTRO84202372634PM.pdf?source=legislation";"Manoj Kotak Kishorbhai"
"2023-08-04";"The Terminated Employees (Welfare) Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/203 OF 2022 AS INTRO84202385449PM.pdf?source=legislation";"Dileshwar Kamait"
"2023-08-04";"The Right of Women to Menstrual Leave and Free Access to Menstrual Health Products Bill, 2022";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/276 of 2022 as introduced84202375127PM.pdf?source=legislation";"Hibi Eden"
